Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Montana,Nursing home/long term care facility,18,178,10,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Montana,Other,0,49,0,0,0,0,
04/12/2023,02/01/2021,02/28/2021,By Month,2021,2,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,Total - All Places of Death,61,887,59,22,,99,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,"Healthcare setting, inpatient",36,265,38,14,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,"Healthcare setting, outpatient or emergency room",,33,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,Decedent's home,12,347,10,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,Hospice facility,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,Nursing home/long term care facility,12,150,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,Other,0,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2021,03/31/2021,By Month,2021,3,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,Total - All Places of Death,33,905,44,15,0,62,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,"Healthcare setting, inpatient",19,258,35,14,0,40,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,"Healthcare setting, outpatient or emergency room",0,28,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,Decedent's home,,349,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,Hospice facility,0,39,0,0,0,0,
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,Nursing home/long term care facility,,170,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,Other,0,61,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2021,04/30/2021,By Month,2021,4,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,Total - All Places of Death,30,910,64,24,0,70,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,"Healthcare setting, inpatient",26,290,51,20,0,57,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,"Healthcare setting, outpatient or emergency room",0,28,0,0,0,0,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,Decedent's home,,323,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,Hospice facility,,33,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,Nursing home/long term care facility,,178,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,Other,0,58,0,0,0,0,
04/12/2023,05/01/2021,05/31/2021,By Month,2021,5,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,Total - All Places of Death,39,944,68,21,0,86,
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,"Healthcare setting, inpatient",32,312,51,19,0,64,
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,"Healthcare setting, outpatient or emergency room",,45,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,Decedent's home,,299,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,Hospice facility,,31,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,Nursing home/long term care facility,,188,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,Other,0,69,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2021,06/30/2021,By Month,2021,6,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,Total - All Places of Death,53,990,74,29,0,98,
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,"Healthcare setting, inpatient",40,310,62,27,0,75,
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,"Healthcare setting, outpatient or emergency room",,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,Decedent's home,,355,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,Hospice facility,0,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,Nursing home/long term care facility,,187,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,Other,,60,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2021,07/31/2021,By Month,2021,7,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,Total - All Places of Death,152,1144,142,93,0,201,
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,"Healthcare setting, inpatient",105,409,106,76,0,135,
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,"Healthcare setting, outpatient or emergency room",,53,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,Decedent's home,17,344,12,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,Hospice facility,0,32,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,Nursing home/long term care facility,25,229,14,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,Other,,74,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2021,08/31/2021,By Month,2021,8,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,Total - All Places of Death,294,1270,191,157,,329,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,"Healthcare setting, inpatient",221,479,156,136,0,241,
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,"Healthcare setting, outpatient or emergency room",,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,Decedent's home,41,394,20,16,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,Hospice facility,,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,Nursing home/long term care facility,23,229,,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,Other,,74,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2021,09/30/2021,By Month,2021,9,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,Total - All Places of Death,444,1452,305,270,0,479,
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,"Healthcare setting, inpatient",321,584,264,239,0,346,
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,"Healthcare setting, outpatient or emergency room",,47,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,Decedent's home,49,439,21,16,0,54,
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,Hospice facility,,55,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,Nursing home/long term care facility,50,243,,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,Other,,82,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,10/01/2021,10/31/2021,By Month,2021,10,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,Total - All Places of Death,311,1229,250,195,0,366,
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,"Healthcare setting, inpatient",240,492,207,169,0,278,
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,"Healthcare setting, outpatient or emergency room",,51,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,Decedent's home,35,355,17,13,0,39,
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,Hospice facility,,47,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,Nursing home/long term care facility,17,219,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,Other,,64,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,11/01/2021,11/30/2021,By Month,2021,11,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,Total - All Places of Death,145,1129,120,80,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,"Healthcare setting, inpatient",112,404,92,70,0,134,
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,"Healthcare setting, outpatient or emergency room",,50,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,Decedent's home,18,387,,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,Hospice facility,,37,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,Nursing home/long term care facility,,191,12,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,Other,0,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,12/01/2021,12/31/2021,By Month,2021,12,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,Total - All Places of Death,176,1203,160,100,,238,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,"Healthcare setting, inpatient",124,423,130,85,,170,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,"Healthcare setting, outpatient or emergency room",,42,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,Decedent's home,18,420,10,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,Hospice facility,,38,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,Nursing home/long term care facility,22,230,12,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,Other,,48,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,01/01/2022,01/31/2022,By Month,2022,1,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,Total - All Places of Death,190,1040,134,97,,229,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,"Healthcare setting, inpatient",134,385,109,83,,162,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,"Healthcare setting, outpatient or emergency room",,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,Decedent's home,17,346,,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,Hospice facility,,37,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,Nursing home/long term care facility,25,181,,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,Other,,61,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,02/01/2022,02/28/2022,By Month,2022,2,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,Total - All Places of Death,69,998,72,32,,111,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,"Healthcare setting, inpatient",41,312,51,22,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,"Healthcare setting, outpatient or emergency room",0,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,Decedent's home,13,353,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,Hospice facility,,51,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,Nursing home/long term care facility,,185,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,Other,0,60,0,0,0,0,
04/12/2023,03/01/2022,03/31/2022,By Month,2022,3,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,Total - All Places of Death,18,843,45,,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,"Healthcare setting, inpatient",,247,27,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,"Healthcare setting, outpatient or emergency room",0,38,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,Decedent's home,,305,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,Hospice facility,,39,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,Nursing home/long term care facility,,169,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,Other,0,43,0,0,0,0,
04/12/2023,04/01/2022,04/30/2022,By Month,2022,4,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,Total - All Places of Death,26,960,65,12,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,"Healthcare setting, inpatient",16,284,44,,0,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,"Healthcare setting, outpatient or emergency room",,29,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,Decedent's home,,337,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,Hospice facility,,52,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,Nursing home/long term care facility,,201,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,Other,0,56,0,0,0,0,
04/12/2023,05/01/2022,05/31/2022,By Month,2022,5,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,Total - All Places of Death,20,830,32,,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,"Healthcare setting, inpatient",,237,22,,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,"Healthcare setting, outpatient or emergency room",,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,Decedent's home,,319,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,Hospice facility,,40,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,Nursing home/long term care facility,,141,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,Other,0,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,06/01/2022,06/30/2022,By Month,2022,6,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,Total - All Places of Death,52,1027,51,,0,94,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,"Healthcare setting, inpatient",28,296,38,,0,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,"Healthcare setting, outpatient or emergency room",,41,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,Decedent's home,,343,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,Hospice facility,,42,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,Nursing home/long term care facility,12,207,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,Other,0,96,0,0,0,0,
04/12/2023,07/01/2022,07/31/2022,By Month,2022,7,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,Total - All Places of Death,38,950,53,19,0,72,
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,"Healthcare setting, inpatient",24,284,39,14,0,49,
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,"Healthcare setting, outpatient or emergency room",,33,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,Decedent's home,,324,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,Hospice facility,0,40,0,0,0,0,
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,Nursing home/long term care facility,,190,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,Other,,77,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,08/01/2022,08/31/2022,By Month,2022,8,Montana,Place of death unknown,0,0,0,0,0,0,
04/12/2023,09/01/2022,09/30/2022,By Month,2022,9,Montana,Total - All Places of Death,32,984,43,11,0,64,
04/12/2023,09/01/2022,09/30/2022,By Month,2022,9,Montana,"Healthcare setting, inpatient",15,273,30,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/12/2023,09/01/2022,09/30/2022,By Month,2022,9,Montana,"Healthcare setting, outpatient or emergency room",0,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
